スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
ギャザースカート	gather|skirt	G_AE1_DH_ER0|S_K_ER1_T
パフ	puff	P_AH1_F
オフタイム	off|time	AO1_F|T_AY1_M
セロリソルト	celery|salt	S_EH1_L_ER0_IY0|S_AO1_L_T
インテンショナル	intentional	IH2_N_T_EH1_N_SH_AH0_N_AH0_L
プロピレングリコール	propylene|glycol	P_R_OW0_P_AH0_L_IY1_N|G_L_AY1_K_AO2_L
ナレッジマネージメント	knowledge|management	N_AA1_L_AH0_JH|M_AE1_N_AH0_JH_M_AH0_N_T
ニュースリーダー	news|reader	N_UW1_Z|R_IY1_D_ER0
シャシー	chassis	CH_AE1_S_IY0
カーニバル	carnival	K_AA1_R_N_AH0_V_AH0_L
ナショナルアトラス	national|atlas	N_AE1_SH_AH0_N_AH0_L|AE1_T_L_AH0_S
チンアップ	chin|up	CH_IH1_N|AH1_P
パンパスキャット	pampas|cat	P_AE1_M_P_AH0_Z|K_AE1_T
キャリッジ	carriage	K_AE1_R_IH0_JH
モラトリアム	moratorium	M_AO2_R_AH0_T_AO1_R_IY0_AH0_M
アミロイド	amyloid	AE1_M_IH0_L_OY2_D
ハイピッチ	high|pitch	HH_AY1|P_IH1_CH
グローバルスタンダード	global|standard	G_L_OW1_B_AH0_L|S_T_AE1_N_D_ER0_D
ホールスタッフ	hall|staff	HH_AO1_L|S_T_AE1_F
オートロックマンション	auto|lock|mansion	AO2_T|L_AA1_K|M_AE1_N_SH_AH0_N
ワイヤー	wire	W_AY1_ER0
ノヴェル	novell	N_OW0_V_EH1_L
ルートモジュール	root|module	R_UW1_T|M_AO1_JH_UW0_L
オーラルケア	oral|care	AO1_R_AH0_L|K_EH1_R
ウッドチップ	woodchip	W_UH1_D_CH_IH2_P
ショットガンブライド	shotgun|bride	SH_AA1_T_G_AH2_N|B_R_AY1_D
スタッツ	stats	S_T_AE1_T_S
シルバーシングル	silver|single	S_IH1_L_V_ER0|S_IH1_NG_G_AH0_L
ジャーナルクラブ	journal|club	JH_ER1_N_AH0_L|K_L_AH1_B
ティラー	tiller	T_IH1_L_ER0
ユニフォーミティー	uniformity	Y_UW2_N_AH0_F_AO1_R_M_AH0_T_IY0
デザイナーベビー	designer|baby	D_IH0_Z_AY1_N_ER0|B_EY1_B_IY0
ネバダ	nevada	N_AH0_V_AA1_D_AH0
リュブリャーナ	ljubljana	L_Y_UW1_B_L_Y_AA0_N_AH0
ニュータイプ	new|type	N_UW1|T_AY1_P
フィンスタビライザー	fin|stabilizer	F_IH1_N|S_T_EY1_B_AH0_L_AY2_Z_ER0
エストニア	estonia	EH0_S_T_OW1_N_IY0_AH0
アラームランプ	alarm|lamp	AH0_L_AA1_R_M|L_AE1_M_P
マグネサイト	magnesite	M_AE1_G_N_AH0_S_AY2_T
スキーウエア	ski|wear	S_K_IY1|W_EH1_R
トムトム	tom|tom	T_AA1_M|T_AA1_M
ビジネススーツ	business|suits	B_IH1_Z_N_AH0_S|S_UW1_T_S
マシマロ	marshmallow	M_AA1_R_SH_M_EH2_L_OW0
セルスイッチング	cell|switching	S_EH1_L|S_W_IH1_CH_IH0_NG
アドオン	add|on	AE1_D|AA1_N
クォリファイングトーナメント	qualifying|tournament	K_W_AA1_L_AH0_F_AY2_IH0_NG|T_UH1_R_N_AH0_M_AH0_N_T
イデオローグ	ideologue	AY1_D_IY0_AH0_L_OW0_G
チャコールグレー	charcoal|gray	CH_AA1_R_K_OW2_L|G_R_EY1
レントゲン	roentgen	R_EH1_N_T_G_EH2_N
ティルト	tilt	T_IH1_L_T
ベッドシーン	bed|scene	B_EH1_D|S_IY1_N
ソシアル	social	S_OW1_SH_AH0_L
プロダクトプロテクション	product|protection	P_R_AA1_D_AH0_K_T|P_R_AH0_T_EH1_K_SH_AH0_N
トッグル	toggle	T_AA1_G_AH0_L
チームワーク	teamwork	T_IY1_M_W_ER2_K
オートセーブ	auto|save	AO1_T_OW0|S_EY1_V
コンビネーションサラダ	combination|salad	K_AA2_M_B_AH0_N_EY1_SH_AH0_N|S_AE1_L_AH0_D
モナミー	mon|ami	M_OW1_N|AA1_M_IY0
クリームソース	cream|sauce	K_R_IY1_M|S_AO1_S
ホワイトバックラッシュ	white|backlash	W_AY1_T|B_AE1_K_L_AE2_SH
ピグシ	pixie	P_IH1_K_S_IY0
グリコール	glycol	G_L_AY1_K_AO2_L
オープントーナメント	open|tournament	OW1_P_AH0_N|T_UH1_R_N_AH0_M_AH0_N_T
インテリジェントデータベース	intelligent|database	IH2_N_T_EH1_L_AH0_JH_AH0_N_T|D_EY1_T_AH0_B_EY2_S
デマゴーグ	demagogue	D_EH1_M_AH0_G_AA2_G
クルージング	cruising	K_R_UW1_Z_IH0_NG
カントリーエレベーター	country|elevator	K_AH1_N_T_R_IY0|EH1_L_AH0_V_EY2_T_ER0
ビュー	view	V_Y_UW1
ラグビーユニオン	rugby|union	R_AH1_G_B_IY0|Y_UW1_N_Y_AH0_N
ミー	me	M_IY1
カウンターインテリジェンス	counterintelligence	K_AW2_N_T_ER0_IH0_N_T_EH1_L_IH0_JH_AH0_N_S
トーナメント	tournament	T_UH1_R_N_AH0_M_AH0_N_T
ラブゲーム	love|game	L_AH1_V|G_EY1_M
プルブイ	pull|buoy	P_UH1_L|B_UW1_IY0
インテリジェントデザイン	intelligent|design	IH2_N_T_EH1_L_AH0_JH_AH0_N_T|D_IH0_Z_AY1_N
プレーセラピー	play|therapy	P_L_EY1|TH_EH1_R_AH0_P_IY0
ラジオコンパス	radio|compass	R_EY1_D_IY0_OW2|K_AH1_M_P_AH0_S
ライフプラン	life|plan	L_AY1_F|P_L_AE1_N
リーダイヤル	redial	R_IY0_D_AY1_AH0_L
セルフサービス	self|service	S_EH1_L_F|S_ER1_V_AH0_S
ポータル	portal	P_AO1_R_T_AH0_L
シリ	siri	S_IH1_R_IY0
ブールバード	boulevard	B_UH1_L_AH0_V_AA2_R_D
ユースホステル	youth|hostel	Y_UW1_TH|HH_AA1_S_T_AH0_L
ドットピッチ	dot|pitch	D_AA1_T|P_IH1_CH
クリンチ	clinch	K_L_IH1_N_CH
キャッシュバック	cash|back	K_AE1_SH|B_AE1_K
デュアルスタック	dual|stack	D_UW1_AH0_L|S_T_AE1_K
クロススティッチ	cross|stitch	K_R_AO1_S|S_T_IH1_CH
フィニッシュ	finish	F_IH1_N_IH0_SH
ランダム	random	R_AE1_N_D_AH0_M
リフトバルブ	lift|valve	L_IH1_F_T|V_AE1_L_V
サーマルリレー	thermal|relay	TH_ER1_M_AH0_L|R_IY1_L_EY2
ガソリン	gasoline	G_AE1_S_AH0_L_IY2_N
ハンドリム	hand|rim	HH_AE1_N_D|R_IH1_M
ピスタチオ	pistachio	P_AH0_S_T_AE1_SH_IY0_OW2
ツーリングカー	touring|car	T_UH1_R_IH0_NG|K_AA1_R
ホットフラッシュ	hot|flush	HH_AA1_T|F_L_AH1_SH
コンピューターユーティリティー	computer|utility	K_AH0_M_P_Y_UW1_T_ER0|Y_UW0_T_IH1_L_AH0_T_IY0
ワイド	wide	W_AY1_D
ソフトクリーム	soft|cream	S_AA1_F_T|K_R_IY1_M
アンマン	amman	AE1_M_AH0_N
フィッシュフィンガー	fish|finger	F_IH1_SH|F_IH1_NG_G_ER0
サイレントストーン	silent|stone	S_AY1_L_AH0_N_T|S_T_OW1_N
チャンネル	channel	CH_AE1_N_AH0_L
イデオム	idiom	IH1_D_IY0_AH0_M
コモンウェルス	commonwealth	K_AA1_M_AH0_N_W_EH2_L_TH
パラレルチャンネル	parallel|channel	P_EH1_R_AH0_L_EH2_L|CH_AE1_N_AH0_L
マスターアップ	master|up	M_AE1_S_T_ER0|AH1_P
ナチョ	nacho	N_AE1_CH_OW2
ライアビリティー	liability	L_AY2_AH0_B_IH1_L_IH0_T_IY0
エンハンストパラレルインタフェース	enhanced|parallel|interface	EH0_N_HH_AE1_N_S_T|P_EH1_R_AH0_L_EH2_L|IH1_N_T_ER0_F_EY2_S
ターミノロジー	terminology	T_ER2_M_IH0_N_AA1_L_AH0_JH_IY0
タブロー	tableau	T_AH0_B_L_OW1
コライダー	collider	K_AH0_L_AY1_D_ER0
クリーナー	cleaner	K_L_IY1_N_ER0
スプロケットフィード	sprocket|feed	S_P_R_AA1_K_AH0_T|F_IY1_D
サイクルタイム	cycle|time	S_AY1_K_AH0_L|T_AY1_M
タブブラウザー	tab|browser	T_AE1_B|B_R_AW1_Z_ER0
アート	art	AA1_R_T
ダマスクローズ	damask|rose	D_AE1_M_AH0_S_K|R_OW1_Z
アナルジージク	analgesic	AE2_N_AH0_L_JH_IY1_S_IH0_K
テイスティング	tasting	T_EY1_S_T_IH0_NG
ビス	bis	B_IH1_S
スパイクシューズ	spike|shoes	S_P_AY1_K|SH_UW1_Z
キーノート	keynote	K_IY1_N_OW2_T
ドラムブレーキ	drum|brake	D_R_AH1_M|B_R_EY1_K
ブラッドバンク	blood|bank	B_L_AH1_D|B_AE1_NG_K
ツーアウト	two|out	T_UW1|AW1_T
シグナリングメッセージ	signalling|message	S_IH1_G_N_AH0_L_IH0_NG|M_EH1_S_AH0_JH
ダークサージョン	dark|surgeon	D_AA1_R_K|S_ER1_JH_AH0_N
フィギュラティフ	figurative	F_IH1_G_Y_ER0_AH0_T_IH0_V
ビスタ	vista	V_IH1_S_T_AH0
デッキプレート	deck|plate	D_EH1_K|P_L_EY1_T
トーガ	toga	T_OW1_G_AH0
コーパス	corpus	K_AO1_R_P_AH0_S
ストロガノフ	stroganoff	S_T_R_OW1_G_AH0_N_AO2_F
エクスクルーシブ	exclusive	IH0_K_S_K_L_UW1_S_IH0_V
カプセルホテル	capsule|hotel	K_AE1_P_S_AH0_L|HH_OW0_T_EH1_L
エアライフル	air|rifle	EH1_R|R_AY1_F_AH0_L
シーベルト	sievert	S_IY1_V_ER0_T
アミューズメント	amusement	AH0_M_Y_UW1_Z_M_AH0_N_T
サーマルリカバリー	thermal|recovery	TH_ER1_M_AH0_L|R_IH0_K_AH1_V_R_IY0
コピープロテクション	copy|protection	K_AA1_P_IY0|P_R_AH0_T_EH1_K_SH_AH0_N
ワガドゥグー	ouagadougou	W_AA2_G_AH0_D_UW1_G_UW0
レンタルサーバ	rental|server	R_EH1_N_T_AH0_L|S_ER1_V_ER0
マローダー	marauder	M_ER0_AO1_D_ER0
エルム	elm	EH1_L_M
テレコム	telecom	T_EH1_L_AH0_K_AA0_M
オンサイト	on|site	AA1_N|S_AY1_T
ビジネスモデリングオブジェクト	business|modeling|object	B_IH1_Z_N_AH0_S|M_AA1_D_AH0_L_IH2_NG|AA1_B_JH_EH0_K_T
コンボ	combo	K_AA1_M_B_OW2
パトロン	patron	P_EY1_T_R_AH0_N
テキストモード	text|mode	T_EH1_K_S_T|M_OW1_D
ルーティン	routine	R_UW0_T_IY1_N
レベルオフ	level|off	L_EH1_V_AH0_L|AO1_F
ヒュリスティックス	heuristics	HH_Y_UH0_R_IH1_S_T_IH0_K_S
タスマニアデビル	tasmania|devil	T_AE2_Z_M_EY1_N_IY0_AH0|D_EH1_V_AH0_L
ヒプノシス	hypnosis	HH_IH0_P_N_OW1_S_AH0_S
キュリオシティー	curiosity	K_Y_UH2_R_IY0_AA1_S_AH0_T_IY0
モラルリスク	moral|risk	M_AO1_R_AH0_L|R_IH1_S_K
ケンネル	kennel	K_EH1_N_AH0_L
カルチャーギャップ	culture|gap	K_AH1_L_CH_ER0|G_AE1_P
オリエンテーション	orientation	AO2_R_IY0_EH0_N_T_EY1_SH_AH0_N
アイドルコラージュ	idol|collage	AY1_D_AH0_L|K_AH0_L_AA1_ZH
トピアリー	topiary	T_OW1_P_IY0_EH2_R_IY0
コンピュータミュージック	computer|music	K_AH0_M_P_Y_UW1_T_ER0|M_Y_UW1_Z_IH0_K
プリンシプル	principle	P_R_IH1_N_S_AH0_P_AH0_L
ウォー	war	W_AO1_R
ミストサウナ	mist|sauna	M_IH1_S_T|S_AO1_N_AH0
ノンアルコール	non|alcohol	N_AA1_N|AE1_L_K_AH0_HH_AA2_L
サービスプログラム	service|program	S_ER1_V_AH0_S|P_R_OW1_G_R_AE2_M
ダイナミズム	dynamism	D_AY1_N_AH0_M_IH2_Z_AH0_M
アザレア	azalea	AH0_Z_EY1_L_Y_AH0
フィジカルプロテクション	physical|protection	F_IH1_Z_IH0_K_AH0_L|P_R_AH0_T_EH1_K_SH_AH0_N
スピナー	spinner	S_P_IH1_N_ER0
サクセスストーリー	success|story	S_AH0_K_S_EH1_S|S_T_AO1_R_IY0
マニュファクチャリング	manufacturing	M_AE2_N_Y_AH0_F_AE1_K_CH_ER0_IH0_NG
ユニバーサルシリアルバス	universal|serial|bus	Y_UW2_N_AH0_V_ER1_S_AH0_L|S_IH1_R_IY2_AH0_L|B_AH1_S
オーソリティ	authority	AH0_TH_AO1_R_AH0_T_IY0
ジャパニーズレストラン	japanese|restaurant	JH_AE2_P_AH0_N_IY1_Z|R_EH1_S_T_ER0_AA2_N_T
ハワイアンマッサージ	hawaiian|massage	HH_AH0_W_AY1_AH0_N|M_AH0_S_AA1_ZH
プラスターボード	plasterboard	P_L_AE1_S_T_ER0_B_AO2_R_D
ハローワーク	hello|work	HH_AH0_L_OW1|W_ER1_K
オークションブリッジ	auction|bridge	AA1_K_SH_AH0_N|B_R_IH1_JH
レジメンタルタイ	regimental|tie	R_EH2_JH_AH0_M_EH1_N_T_AH0_L|T_AY1
デジタルパチンコ	digital|pachinko	D_IH1_JH_AH0_T_AH0_L|P_AH0_CH_IH1_NG_K_OW0
シャルム	charm	CH_AA1_R_M
オフロード	off|road	AO1_F|R_OW1_D
ラテンアメリカ	latin|america	L_AE1_T_AH0_N|AH0_M_EH1_R_IH0_K_AH0
ウェイン	wane	W_EY1_N
ベイオニット	bayonet	B_EY1_AH0_N_EH2_T
テニス	tennis	T_EH1_N_AH0_S
バラック	barrack	B_AE1_R_AH0_K
バックス	backs	B_AE1_K_S
マイナンバー	my|number	M_AY1|N_AH1_M_B_ER0
ウイングチップ	wing|tip	W_IH1_NG|T_IH1_P
コントラクション	contraction	K_AH0_N_T_R_AE1_K_SH_AH0_N
ポーラログラフィー	polarography	P_OW2_L_ER0_AA1_G_R_AH0_F_IY0
バイポーラ	bipolar	B_AY0_P_OW1_L_ER0
ディベート	debate	D_AH0_B_EY1_T
オープンエア	open|air	OW1_P_AH0_N|EH1_R
スタッフ	staff	S_T_AE1_F
シクラメン	cyclamen	S_AY1_K_L_AH0_M_EH2_N
エフェクティブ	effective	IH0_F_EH1_K_T_IH0_V
リブ	rib	R_IH1_B
チーフメート	chief|mate	CH_IY1_F|M_EY1_T
バウチズモ	baptism	B_AE1_P_T_IH0_Z_AH0_M
スキャン	scan	S_K_AE1_N
エレクトリックベース	electric|bass	IH0_L_EH1_K_T_R_IH0_K|B_AE1_S
エアポート	airport	EH1_R_P_AO2_R_T
エネミー	enemy	EH1_N_AH0_M_IY0
ハイフン	hyphen	HH_AY1_F_AH0_N
キューティクルクリーム	cuticle|cream	K_Y_UW1_T_AH0_K_AH0_L|K_R_IY1_M
スケーリングファクター	scaling|factor	S_K_EY1_L_IH0_NG|F_AE1_K_T_ER0
アナログシンセサイザー	analog|synthesizer	AE1_N_AH0_L_AO2_G|S_IH1_N_TH_AH0_S_AY2_Z_ER0
タッチフットボール	touch|football	T_AH1_CH|F_UH1_T_B_AO2_L
サブレ	sable	S_EY1_B_AH0_L
ポロネーズ	polonaise	P_AA2_L_AH0_N_EY1_Z
ヨーグルト	yogurt	Y_OW1_G_ER0_T
ライ	lie	L_AY1
ロイヤルボックス	royal|box	R_OY1_AH0_L|B_AA1_K_S
ワンウエイ	one|way	W_AH1_N|W_EY1
キャッツアイ	cat's|eye	K_AE1_T_S|AY1
コロン	colon	K_OW1_L_AH0_N
ピーカン	pecan	P_AH0_K_AA1_N
アシメトリックデザイン	asymmetric|design	EY2_S_AH0_M_EH1_T_R_IH0_K|D_IH0_Z_AY1_N
サーモインナー	thermo|inner	TH_ER1_M_OW0|IH1_N_ER0
デイリーニュース	daily|news	D_EY1_L_IY0|N_UW1_Z
ナンバークロスワードパズル	number|crossword|puzzle	N_AH1_M_B_ER0|K_R_AO1_S_W_ER2_D|P_AH1_Z_AH0_L
インシデンス	incidence	IH1_N_S_AH0_D_AH0_N_S
グラフ	graph	G_R_AE1_F
コロニアリズム	colonialism	K_AH0_L_OW1_N_IY0_AH0_L_IH2_Z_AH0_M
キング	king	K_IH1_NG
アポプトーシス	apoptosis	AE2_P_AO0_P_T_OW1_S_IH0_Z
クリスタルマイクロホン	crystal|microphone	K_R_IH1_S_T_AH0_L|M_AY1_K_R_AH0_F_OW2_N
テニスシューズ	tennis|shoes	T_EH1_N_AH0_S|SH_UW1_Z
センシブル	sensible	S_EH1_N_S_AH0_B_AH0_L
マイクロブリュワリー	microbrewery	M_AY1_K_R_OW2_B_R_UW2_ER0_IY0
ボーノ	buono	B_W_OW1_N_OW0
キュリー	curie	K_Y_UH0_R_IY1
フォー	pho	F_OW1
データクラフト	data|craft	D_EY1_T_AH0|K_R_AE1_F_T
インセスト	incest	IH1_N_S_EH2_S_T
ネットワーキング	networking	N_EH1_T_W_ER2_K_IH0_NG
ループ	loop	L_UW1_P
クラリオン	clarion	K_L_EH1_R_IY0_AH0_N
エラーバー	error|bar	EH1_R_ER0|B_AA1_R
ダイブテーブル	dive|table	D_AY1_V|T_EY1_B_AH0_L
ダミーパラメタ	dummy|parameter	D_AH1_M_IY0|P_ER0_AE1_M_AH0_T_ER0
ノー	no	N_OW1
ワンピース	one|piece	W_AH1_N|P_IY1_S
モレーン	moraine	M_ER0_EY1_N
クレステッドカラカラ	crested|caracara	K_R_EH1_S_T_IH0_D|K_AA2_R_AH0_K_AA1_R_AH0
バラエティーショー	variety|show	V_ER0_AY1_AH0_T_IY0|SH_OW1
バイオロジー	biology	B_AY0_AA1_L_AH0_JH_IY0
シリコンポリマー	silicon|polymer	S_IH1_L_AH0_K_AH0_N|P_AA1_L_AH0_M_ER0
マサチューセッツ	massachusetts	M_AE2_S_AH0_CH_UW1_S_AH0_T_S
バキュームクリーナー	vacuum|cleaner	V_AE1_K_Y_UW0_M|K_L_IY1_N_ER0
ミゼラブル	miserable	M_IH1_Z_ER0_AH0_B_AH0_L
モリブデン	molybdenum	M_AH0_L_IH1_B_D_IH0_N_AH0_M
チュニス	tunis	T_UW1_N_IH0_S
インスピレイション	inspiration	IH2_N_S_P_ER0_EY1_SH_AH0_N
ザッツライト	that's|right	DH_AE1_T_S|R_AY1_T
プリティプリント	pretty|print	P_R_IH1_T_IY0|P_R_IH1_N_T
アーガイル	argyle	AA1_R_G_AY2_L
エデュ	edu	EH1_D_Y_UW0
ネットアクセス	net|access	N_EH1_T|AE1_K_S_EH2_S
コンクリートプレーサー	concrete|placer	K_AH0_N_K_R_IY1_T|P_L_AE1_S_ER0
ラブローション	love|lotion	L_AH1_V|L_OW1_SH_AH0_N
クリティック	critic	K_R_IH1_T_IH0_K
アンディーブ	endive	EH1_N_D_IH0_V
スナックバー	snack|bar	S_N_AE1_K|B_AA1_R
ガレー	galley	G_AE1_L_IY0
クラスアクション	class|action	K_L_AE1_S|AE1_K_SH_AH0_N
リミットサイクル	limit|cycle	L_IH1_M_AH0_T|S_AY1_K_AH0_L
ポッサム	possum	P_AA1_S_AH0_M
クリプトン	krypton	K_R_IH1_P_T_AO0_N
パンチ	punch	P_AH1_N_CH
グループケア	group|care	G_R_UW1_P|K_EH1_R
エアカーゴ	air|cargo	EH1_R|K_AA1_R_G_OW2
ミスマッチ	mis|match	M_IH1_S|M_AE1_CH
アセンブラー	assembler	AH0_S_EH1_M_B_L_ER0
エアステーション	air|station	EH1_R|S_T_EY1_SH_AH0_N
ミルクホール	milk|hall	M_IH1_L_K|HH_AO1_L
コーナートップ	corner|top	K_AO1_R_N_ER0|T_AA1_P
レギュラーコーヒー	regular|coffee	R_EH1_G_Y_AH0_L_ER0|K_AA1_F_IY0
テーパーピン	taper|pin	T_EY1_P_ER0|P_IH1_N
チャリティーコンサート	charity|concert	CH_EH1_R_IH0_T_IY0|K_AA1_N_S_ER0_T
メンタルテスト	mental|test	M_EH1_N_T_AH0_L|T_EH1_S_T
スキットル	skittle	S_K_IH1_T_AH0_L
キャスチングボート	casting|vote	K_AE1_S_T_IH0_NG|V_OW1_T
カラテチョップ	karate|chop	K_ER0_AA1_T_IY0|CH_AA1_P
サイン	sine	S_AY1_N
アイシールド	eye|shield	AY1|SH_IY1_L_D
クロロフルオロカーボン	chlorofluorocarbon	K_L_AO0_R_OW0_F_L_AO2_R_OW0_K_AA1_R_B_AA0_N
ファイルキャッシュ	file|cache	F_AY1_L|K_AE1_SH
イラステシティ	elasticity	IY2_L_AE2_S_T_IH1_S_AH0_T_IY0
アストロノマー	astronomer	AH0_S_T_R_AA1_N_AH0_M_ER0
セクシャルハラスメント	sexual|harassment	S_EH1_K_SH_UW0_AH0_L|HH_ER0_AE1_S_M_AH0_N_T
バックスクリーン	back|screen	B_AE1_K|S_K_R_IY1_N
アルカディア	arcadia	AA0_R_K_EY1_D_IY0_AH0
マッドサイエンティスト	mad|scientist	M_AE1_D|S_AY1_AH0_N_T_IH0_S_T
ライブラリルーチン	library|routine	L_AY1_B_R_EH0_R_IY2|R_UW0_T_IY1_N
ハンギングプラント	hanging|plant	HH_AE1_NG_IH0_NG|P_L_AE1_N_T
ミップス	mips	M_IH1_P_S
インフィニティー	infinity	IH2_N_F_IH1_N_IH0_T_IY0
ローハードル	low|hurdle	L_OW1|HH_ER1_D_AH0_L
バニティー	vanity	V_AE1_N_AH0_T_IY0
アクティブウィンドウ	active|window	AE1_K_T_IH0_V|W_IH1_N_D_OW0
フォールディングナイフ	folding|knife	F_OW1_L_D_IH0_NG|N_AY1_F
コール	call	K_AO1_L
チームメイト	teammate	T_IY1_M_EY2_T
クエーカー	quaker	K_W_EY1_K_ER0
タップアウト	tap|out	T_AE1_P|AW1_T
キャスターオイル	castor|oil	K_AE1_S_T_ER0|OY1_L
フィロデンドロン	philodendron	F_IH2_L_AH0_D_EH1_N_D_R_AH0_N
マンタ	manta	M_AE1_N_T_AH0
シャドウマスク	shadow|mask	SH_AE1_D_OW2|M_AE1_S_K
エレベーターホール	elevator|hall	EH1_L_AH0_V_EY2_T_ER0|HH_AO1_L
ワーキングメモリー	working|memory	W_ER1_K_IH0_NG|M_EH1_M_ER0_IY0
アース	earth	ER1_TH
オーキッド	orchid	AO1_R_K_AH0_D
エレクトリックピアノ	electric|piano	IH0_L_EH1_K_T_R_IH0_K|P_IY0_AE1_N_OW0
ディメンションレベル	dimension|level	D_IH0_M_EH1_N_SH_AH0_N|L_EH1_V_AH0_L
シガレット	cigarette	S_IH2_G_AH0_R_EH1_T
オルガニスト	organist	AO1_R_G_AH0_N_AH0_S_T
ラブコメディ	love|comedy	L_AH1_V|K_AA1_M_AH0_D_IY0
グレーマーケット	grey|market	G_R_EY1|M_AA1_R_K_AH0_T
クッションボール	cushion|ball	K_UH1_SH_AH0_N|B_AO1_L
バーモント	vermont	V_ER0_M_AA1_N_T
グランド	grand	G_R_AE1_N_D
パレンセシス	parentheses	P_ER0_EH1_N_TH_AH0_S_IY2_Z
フレキシブルマニュファクチャリングシステム	flexible|manufacturing|system	F_L_EH1_K_S_AH0_B_AH0_L|M_AE2_N_Y_AH0_F_AE1_K_CH_ER0_IH0_NG|S_IH1_S_T_AH0_M
マテリアリスト	materialist	M_AH0_T_IH1_R_IY0_AH0_L_IH0_S_T
ジェネレーティブアート	generative|art	JH_EH1_N_ER0_AH0_T_IH0_V|AA1_R_T
カリブー	caribou	K_EH1_R_IH0_B_UW2
イーディーオーラム	edo|ram	IY1_D_IY1_OW0|R_AE1_M
ボディアート	body|art	B_AA1_D_IY0|AA1_R_T
イオンデポジションプリンタ	ion|deposition|printer	AY1_AA2_N|D_EH2_P_AH0_Z_IH1_SH_AH0_N|P_R_IH1_N_T_ER0
ローラーベアリング	roller|bearing	R_OW1_L_ER0|B_EH1_R_IH0_NG
イリーガル	illegal	IH2_L_IY1_G_AH0_L
シーシック	seasick	S_IY1_S_IH2_K
プレスカード	press|card	P_R_EH1_S|K_AA1_R_D
ポストドクター	post|doctor	P_OW1_S_T|D_AA1_K_T_ER0
ファインディング	finding	F_AY1_N_D_IH0_NG
ノーバウンド	no|bound	N_OW1|B_AW1_N_D
サイレントチェーン	silent|chain	S_AY1_L_AH0_N_T|CH_EY1_N
カスタムパレット	custom|palette	K_AH1_S_T_AH0_M|P_AE1_L_AH0_T
ミニチュアパーク	miniature|park	M_IH1_N_IY0_AH0_CH_UH2_R|P_AA1_R_K
ワークエリア	work|area	W_ER1_K|EH1_R_IY0_AH0
アウトワッズ	outwards	AW1_T_W_ER0_D_Z
アンタレス	antares	AE0_N_T_EH1_R_IY0_Z
カフェバー	cafe|bar	K_AH0_F_EY1|B_AA1_R
トラヒックエンジニアリング	traffic|engineering	T_R_AE1_F_IH0_K|EH1_N_JH_AH0_N_IH1_R_IH0_NG
アンダースコア	underscore	AH2_N_D_ER0_S_K_AO1_R
ダウンロード	download	D_AW1_N_L_OW2_D
プルダウン	pull|down	P_UH1_L|D_AW1_N
モダリティー	modality	M_AH0_D_AE1_L_AH0_T_IY0
リフレーション	reflation	R_IY0_F_L_EY1_SH_AH0_N
ボンデージ	bondage	B_AA1_N_D_IH0_JH
アーダー	ardor	AA1_R_D_ER0
フェイバリット	favorite	F_EY1_V_ER0_IH0_T
カブ	cub	K_AH1_B
キャリー	carry	K_AE1_R_IY0
プロングホーン	pronghorn	P_R_AO1_NG_HH_AO2_R_N
ストリートエンゼル	street|angel	S_T_R_IY1_T|EY1_N_JH_AH0_L
フレイト	freight	F_R_EY1_T
プレートテクトニクス	plate|tectonics	P_L_EY1_T|T_EH0_K_T_AA1_N_IH0_K_S
ロータリードライヤ	rotary|dryer	R_OW1_T_ER0_IY0|D_R_AY1_ER0
テーブルチャージ	table|charge	T_EY1_B_AH0_L|CH_AA1_R_JH
ホームセキュリティーシステム	home|security|system	HH_OW1_M|S_IH0_K_Y_UH1_R_AH0_T_IY0|S_IH1_S_T_AH0_M
シリンジ	syringe	S_ER0_IH1_N_JH
シャルキュトリ	charcuterie	SH_AA1_R_K_UH0_T_R_IY2
ニッチ	niche	N_IH1_SH
オフフック	off|hook	AO1_F|HH_UH1_K
マネジメントゲーム	management|game	M_AE1_N_AH0_JH_M_AH0_N_T|G_EY1_M
ブリーチ	bleach	B_L_IY1_CH
アンクルバンド	ankle|band	AE1_NG_K_AH0_L|B_AE1_N_D
プロバスケットボールリーグ	pro|basketball|league	P_R_OW1|B_AE1_S_K_AH0_T_B_AO2_L|L_IY1_G
ロマンスグレー	romance|gray	R_OW0_M_AE1_N_S|G_R_EY1
オープンテニス	open|tennis	OW1_P_AH0_N|T_EH1_N_AH0_S
ジョージア	georgia	JH_AO1_R_JH_AH0
メンバプロパティ	member|property	M_EH1_M_B_ER0|P_R_AA1_P_ER0_T_IY0
メロディ	melody	M_EH1_L_AH0_D_IY0
コスチュームジュエリー	costume|jewelry	K_AA0_S_T_UW1_M|JH_UW1_AH0_L_R_IY0
リットル	liter	L_IY1_T_ER0
ビリオン	billion	B_IH1_L_Y_AH0_N
ステロタイプ	stereotype	S_T_EH1_R_IY0_OW0_T_AY2_P
ホームゲートウェイ	home|gateway	HH_OW1_M|G_EY1_T_W_EY2
ハンドタオル	hand|towel	HH_AE1_N_D|T_AW1_AH0_L
ピュアログバックアップ	pure|log|backup	P_Y_UH1_R|L_AO1_G|B_AE1_K_AH2_P
マルチナショナル	multinational	M_AH2_L_T_AY2_N_AE1_SH_AH0_N_AH0_L
